ICDId;Category;ICD10CODE;DESCRIPTION
1;A00-A09;A00;Cholera,A00-A09
2;A00-A09;A00.0;Cholera due to Vibrio cholerae 01, biovar cholera (CLASSIC CHOLERA)
3;A00-A09;A00.0/0;Biovar cholera
4;A00-A09;A00.0/1;Classical cholera
5;A00-A09;A00.0/2;Cholera due to Vibrio cholerae 01, biovar cholera
6;A00-A09;A00.1;Cholera due to Vibrio cholerae 01, biovar eltor (CHOLERA ELTOR)
7;A00-A09;A00.1/0;Cholera due to Vibrio cholerae 01, biovar eltor
8;A00-A09;A00.1/1;Cholera eltor
9;A00-A09;A00.9/0;Cholera,A00-A09
10;A00-A09;A00.9;Cholera, unspecified
11;A00-A09;A01;Typhoid and paratyphoid fevers (ENTERIC FEVER)
12;A00-A09;A01.0;TYPHOID FEVER/ILEITIS (ENTERIC FEVER)
13;A00-A09;A01.00/0;Typhoid psychosis, culture proven
14;A00-A09;A01.00/1;Typhoid fever, culture proven
15;A00-A09;A01.00/2;Typhoid ileitis, culture proven
16;A00-A09;A01.01/0;Typhoid psychosis, clinically proven
17;A00-A09;A01.01/1;Typhoid fever, clinically proven
18;A00-A09;A01.01/2;Typhoid ileitis, clinically proven
19;A00-A09;A01.1;Paratyphoid fever A
20;A00-A09;A01.2;Paratyphoid fever B
21;A00-A09;A01.3;Paratyphoid fever C
22;A00-A09;A01.4;Paratyphoid fever, unspecified
23;A00-A09;A02;Other salmonella infections
24;A00-A09;A02.0;Salmonella enteritis (SALMONELLOSIS)
25;A00-A09;A02.0/0;Salmonellosis,A00-A09
26;A00-A09;A02.1;Salmonella septicemia
27;A00-A09;A02.2;Localized salmonella infections
28;A00-A09;A02.8;Other specified salmonella infections
29;A00-A09;A02.9;Salmonella infection, unspecified
30;A00-A09;A03;Shigellosis,A00-A09
31;A00-A09;A03.0;Shigellosis due to Shigella dysenteriae
32;A00-A09;A03.1;Shigellosis due to Shigella flexneri
33;A00-A09;A03.2;Shigellosis due to Shigella boydii
34;A00-A09;A03.3;Shigellosis due to Shigella sonnei
35;A00-A09;A03.8;Other shigellosis
36;A00-A09;A03.9;Shigellosis, unspecified
37;A00-A09;A04;Other bacterial intestinal infections
38;A00-A09;A04.0;Enteropathogenic Escherichia coli infection
39;A00-A09;A04.1;Enterotoxigenic Escherichia coli infection
40;A00-A09;A04.2;Enteroinvasive Escherichia coli infection
41;A00-A09;A04.3;Enterohemorrhagic Escherichia coli infection
42;A00-A09;A04.4;Other intestinal Escherichia coli infections
43;A00-A09;A04.5;Campylobacter enteritis
44;A00-A09;A04.6;Enteritis due to Yersinia enterocolitica
45;A00-A09;A04.7;Enterocolitis due to Clostridium difficile (FOODBORNE INTOXICATION BY CLOSTRIDIUM DIFFICILE)(PSEUDOMEMBRANOUS COLITIS)
46;A00-A09;A04.8;Other specified bacterial intestinal infections
47;A00-A09;A04.9;Bacterial intestinal infection, unspecified
