Code,Area,Province/City
2800,Bangued,Abra
2815,Boliney,Abra
2805,Bucay,Abra
2817,Bucloc,Abra
2816,Daguioman,Abra
2825,Danglas,Abra
2801,Dolores,Abra
2826,La Paz,Abra
2821,Lacub,Abra
2802,Lagangilang,Abra
2824,Lagayan,Abra
2807,Langiden,Abra
2819,Licuan-Baay,Abra
2813,Luba,Abra
2820,Malibcong,Abra
2810,Manabo,Abra
2804,Pe–arrubia,Abra
2806,Pidigan,Abra
2812,Pilar,Abra
2818,Sallapadan,Abra
2809,San Isidro,Abra
2823,San Juan,Abra
2808,San Quintin,Abra
2803,Tayum,Abra
2822,Tineg,Abra
2814,Tubo,Abra
2811,Villaviciosa,Abra
8601,Buenavista,Agusan del Norte
8600,Butuan,Agusan del Norte
8605,Cabadbaran,Agusan del Norte
8603,Carmen,Agusan del Norte
8607,Jabonga,Agusan del Norte
8609,Kitcharao,Agusan del Norte
8610,Las Nieves,Agusan del Norte
8604,Magallanes,Agusan del Norte
8602,Nasipit,Agusan del Norte
8611,Remedios T. Romualdez,Agusan del Norte
8608,Santiago,Agusan del Norte
8606,Tubay,Agusan del Norte
8502,Bayugan,Agusan del Sur
8506,Bunawan,Agusan del Sur
8513,Esperanza,Agusan del Sur
8508,La Paz,Agusan del Sur
8507,Loreto,Agusan del Sur
8500,Prosperidad,Agusan del Sur
8504,Rosario,Agusan del Sur
8501,San Francisco,Agusan del Sur
8511,San Luis,Agusan del Sur
8512,Santa Josefa,Agusan del Sur
8503,Sibagat,Agusan del Sur
8510,Talacogon,Agusan del Sur
8505,Trento,Agusan del Sur
8509,Veruela,Agusan del Sur
5616,Altavas,Aklan
5614,Balete,Aklan
5601,Banga,Aklan
5615,Batan,Aklan
5609,Buruanga,Aklan
5613,Ibajay,Aklan
5600,Kalibo,Aklan
5605,Lezo,Aklan
5602,Libacao,Aklan
5603,Madalag,Aklan
5611,Makato,Aklan
5608,Malay,Aklan
5606,Malinao,Aklan
5607,Nabas,Aklan
5610,New Washington,Aklan
5604,Numancia,Aklan
5612,Tangalan,Aklan
4509,Bacacay,Albay
4502,Camalig,Albay
4501,Daraga (Locsin),Albay
4503,Guinobatan,Albay
4515,Jovellar,Albay
4500,Legazpi,Albay
4507,Libon,Albay
4504,Ligao,Albay
4510,Malilipot,Albay
4512,Malinao,Albay
4514,Manito,Albay
4505,Oas,Albay
4516,Pio Duran (Malacbalac),Albay
4506,Polangui,Albay
4517,Rapu-Rapu,Albay
4508,Santo Domingo,Albay
4511,Tabaco,Albay
4513,Tiwi,Albay
5717,Anini-y,Antique
5706,Barbaza,Antique
5701,Belison,Antique
5704,Bugasong,Antique
5711,Caluya,Antique
5708,Culasi,Antique
5715,Hamtic,Antique
5705,Laua-an,Antique
5710,Libertad,Antique
5712,Pandan,Antique
5702,Patnongon,Antique
5700,San Jose,Antique
5714,San Remigio,Antique
5709,Sebaste,Antique
5713,Sibalom,Antique
5707,Tibiao,Antique
5716,Tobias Fornier (Dao),Antique
5703,Valderrama,Antique
3814,Calanasan (Bayag),Apayao
3807,Conner,Apayao
3810,Flora,Apayao
3809,Kabugao,Apayao
3813,Luna,Apayao
3812,Pudtol,Apayao
3811,Santa Marcela,Apayao
3200,Baler,Aurora
3204,Casiguran,Aurora
3205,Dilasag,Aurora
3206,Dinalungan,Aurora
3207,Dingalan,Aurora
3203,Dipaculao,Aurora
3202,Maria Aurora,Aurora
3201,San Luis,Aurora
7300,Isabela City,Basilan
7302,Lamitan,Basilan
7301,Lantawan,Basilan
7303,Maluso,Basilan
7305,Sumisip,Basilan
7304,Tipo-Tipo,Basilan
7306,Tuburan,Basilan
2114,Abucay,Bataan
2107,Bagac,Bataan
2100,Balanga,Bataan
2105,"Bataan Export Processing Zone, Mariveles",Bataan
2110,Dinalupihan,Bataan
2111,Hermosa,Bataan
2104,Lamao,Bataan
2103,Limay,Bataan
2105,Mariveles,Bataan
2108,Morong,Bataan
2112,Orani,Bataan
2102,Orion,Bataan
2101,Pilar,Bataan
2109,"Refugee Processing Center, Morong",Bataan
2113,Samal,Bataan
3900,Basco,Batanes
3905,Itbayat,Batanes
3902,Ivana,Batanes
3901,Mahatao,Batanes
3904,Sabtang,Batanes
3903,Uyugan,Batanes
4211,Agoncillo,Batangas
4205,Alitagtag,Batangas
4213,Balayan,Batangas
4219,Balete,Batangas
4200,Batangas City,Batangas
4201,Bauan,Batangas
4212,Calaca,Batangas
4215,Calatagan,Batangas
4222,Cuenca,Batangas
4218,"Fernando Air Base, Lipa",Batangas
4230,Ibaan,Batangas
4221,Laurel,Batangas
4209,Lemery,Batangas
4216,Lian,Batangas
4217,Lipa,Batangas
4229,Lobo,Batangas
4202,Mabini,Batangas
4233,Malvar,Batangas
4223,Mataas na Kahoy,Batangas
4231,Nasugbu,Batangas
4224,Padre Garcia,Batangas
4225,Rosario,Batangas
4227,San Jose,Batangas
4226,San Juan,Batangas
4210,San Luis,Batangas
4207,San Nicolas,Batangas
4204,San Pascual,Batangas
4206,Santa Teresita,Batangas
4234,Santo Tomas,Batangas
4208,Taal,Batangas
4220,Talisay,Batangas
4232,Tanauan,Batangas
4228,Taysan,Batangas
4203,Tingloy,Batangas
4214,Tuy,Batangas
2612,Atok,Benguet
2600,Baguio,Benguet
2610,Bakun,Benguet
2605,Bokod,Benguet
2607,Buguias,Benguet
2604,Itogon,Benguet
2606,Kabayan,Benguet
2613,Kapangan,Benguet
2611,Kibungan,Benguet
2601,La Trinidad,Benguet
2609,"Lepanto, Mankayan",Benguet
2608,Mankayan,Benguet
2602,"Philippine Military Academy, Baguio",Benguet
2614,Sablan,Benguet
2603,Tuba,Benguet
2615,Tublay,Benguet
6544,Almeria,Biliran
6549,Biliran,Biliran
6550,Cabucgayan,Biliran
6548,Caibiran,Biliran
6547,Culaba,Biliran
6545,Kawayan,Biliran
6546,Maripipi,Biliran
6543,Naval,Biliran
6302,Alburquerque,Bohol
6314,Alicia,Bohol
6311,Anda,Bohol
6335,Antequera,Bohol
6301,Baclayon,Bohol
6342,Balilihan,Bohol
6318,Batuan,Bohol
6326,Bien Unido,Bohol
6317,Bilar,Bohol
6333,Buenavista,Bohol
6328,Calape,Bohol
6312,Candijay,Bohol
6319,Carmen,Bohol
6343,Catigbian,Bohol
6330,Clarin,Bohol
6337,Corella,Bohol
6341,Cortes,Bohol
6322,Dagohoy,Bohol
6344,Danao,Bohol
6339,Dauis,Bohol
6305,Dimiao,Bohol
6309,Duero,Bohol
6307,Garcia Hernandez,Bohol
6310,Guindulman,Bohol
6332,Inabanga,Bohol
6308,Jagna,Bohol
6334,Jetafe,Bohol
6304,Lila,Bohol
6303,Loay,Bohol
6316,Loboc,Bohol
6327,Loon,Bohol
6313,Mabini,Bohol
6336,Maribojoc,Bohol
6340,Panglao,Bohol
6321,Pilar,Bohol
6346,Pres. Carlos P. Garcia (Pitogo),Bohol
6331,Sagbayan,Bohol
6345,San Isidro,Bohol
6323,San Miguel,Bohol
6347,Sevilla,Bohol
6320,Sierra Bullones,Bohol
6338,Sikatuna,Bohol
6300,Tagbilaran,Bohol
6325,Talibon,Bohol
6324,Trinidad,Bohol
6329,Tubigon,Bohol
6315,Ubay,Bohol
6306,Valencia,Bohol
8707,Baungon,Bukidnon
8723,Cabanglasan,Bukidnon
8705,Camp Phillips,Bukidnon
8721,Damulog,Bukidnon
8719,Dangcagan,Bukidnon
8712,Don Carlos,Bukidnon
8702,Impasugong,Bukidnon
8713,Kadingilan,Bukidnon
8718,Kalilangan,Bukidnon
8720,Kibawe,Bukidnon
8716,Kitaotao,Bukidnon
8722,Lantapan,Bukidnon
8706,Libona,Bukidnon
8700,Malaybalay,Bukidnon
8704,Malitbog,Bukidnon
8703,Manolo Fortich,Bukidnon
8714,Maramag,Bukidnon
8710,Musuan,Bukidnon
8717,Pangantucan,Bukidnon
8715,Quezon,Bukidnon
8711,San Fernando,Bukidnon
8701,Sumilao,Bukidnon
8708,Talakag,Bukidnon
8709,Valencia,Bukidnon
3012,Angat,Bulacan
3016,Balagtas (Bigaa),Bulacan
3006,Baliuag,Bulacan
3018,Bocaue,Bulacan
3017,Bulacan,Bulacan
3007,Bustos,Bulacan
3003,Calumpit,Bulacan
3009,Do–a Remedios Trinidad,Bulacan
3015,Guiguinto,Bulacan
3002,Hagonoy,Bulacan
3000,Malolos,Bulacan
3019,Marilao,Bulacan
3020,Meycauayan,Bulacan
3013,Norzagaray,Bulacan
3021,Obando,Bulacan
3014,Pandi,Bulacan
3001,Paombong,Bulacan
3004,Plaridel,Bulacan
3005,Pulilan,Bulacan
3010,San Ildefonso,Bulacan
3023,San Jose del Monte,Bulacan
3011,San Miguel,Bulacan
3008,San Rafael,Bulacan
3022,Santa Maria,Bulacan
3024,Sapang Palay,Bulacan
3517,Abulug,Cagayan
3507,Alcala,Cagayan
3523,Allacapan,Cagayan
3505,Amulung,Cagayan
3515,Aparri,Cagayan
3506,Baggao,Cagayan
3516,Ballesteros,Cagayan
3511,Buguey,Cagayan
3520,Calayan,Cagayan
3510,Camalaniugan,Cagayan
3519,Claveria,Cagayan
3501,Enrile,Cagayan
3508,Gattaran,Cagayan
3513,Gonzaga,Cagayan
3504,Iguig,Cagayan
3509,Lal-Lo,Cagayan
3524,Lasam,Cagayan
3522,Pamplona,Cagayan
3502,Pe–ablanca,Cagayan
3527,Piat,Cagayan
3526,Rizal,Cagayan
3518,Sanchez-Mira,Cagayan
3514,Santa Ana,Cagayan
3521,Santa Praxedes,Cagayan
3512,Santa Teresita,Cagayan
3525,Santo Ni–o,Cagayan
3503,Solana,Cagayan
3528,Tuao,Cagayan
3500,Tuguegarao,Cagayan
1425,Amparo Subdivision and Dela Costa Homes II Subdivision,Caloocan
1401,Baesa,Caloocan
1428,Bagong Silang,Caloocan
1421,BagumbongĞVilla Crystal,Caloocan
1426,Bankers Village,Caloocan
1400,Caloocan City Central Post Office,Caloocan
1424,Capitol Parkland Subdivision,Caloocan
1405,First AvenueĞSeventh Avenue West,Caloocan
1411,Fish Market,Caloocan
1403,Grace Park East,Caloocan
1406,Grace Park West,Caloocan
1412,Isla de Cocomo,Caloocan
1413,Kapitbahayan,Caloocan
1409,Kaunlaran Village,Caloocan
1420,Laguna,Caloocan
1423,Lilles Ville Subdivision,Caloocan
1410,Maypajo,Caloocan
1422,Novaliches,Caloocan
1404,San Jose,Caloocan
1408,Sangandaan,Caloocan
1402,Santa Quiteria,Caloocan
1427,Tala LeprosariumĞVictory Heights,Caloocan
1407,University Hills,Caloocan
4608,Basud,Camarines Norte
4607,Capalonga,Camarines Norte
4600,Daet,Camarines Norte
4606,Jose Panganiban,Camarines Norte
4604,Labo,Camarines Norte
4601,Mercedes,Camarines Norte
4605,Paracale,Camarines Norte
4610,San Lorenzo Ruiz,Camarines Norte
4609,San Vicente,Camarines Norte
4611,Santa Elena,Camarines Norte
4602,Talisay,Camarines Norte
4612,Tulay-na-Lupa,Camarines Norte
4603,Vinzons,Camarines Norte
4432,Baao,Camarines Sur
4436,Balatan,Camarines Sur
4435,Bato,Camarines Sur
4404,Bombon,Camarines Sur
4433,Buhi,Camarines Sur
4430,Bula,Camarines Sur
4406,Cabusao,Camarines Sur
4405,Calabanga,Camarines Sur
4401,Camaligan,Camarines Sur
4402,Canaman,Camarines Sur
4429,Caramoan,Camarines Sur
4411,Del Gallego,Camarines Sur
4412,Gainza,Camarines Sur
4428,Garchitorena,Camarines Sur
4422,Goa,Camarines Sur
4431,Iriga,Camarines Sur
4425,Lagonoy,Camarines Sur
4407,Libmanan,Camarines Sur
4409,Lupi,Camarines Sur
4403,Magarao,Camarines Sur
4413,Milaor,Camarines Sur
4414,Minalabac,Camarines Sur
4434,Nabua,Camarines Sur
4400,Naga,Camarines Sur
4419,Ocampo,Camarines Sur
4416,Pamplona,Camarines Sur
4417,Pasacao,Camarines Sur
4418,Pili,Camarines Sur
4424,Presentacion,Camarines Sur
4410,Ragay,Camarines Sur
4421,Sag–ay,Camarines Sur
4415,San Fernando,Camarines Sur
4423,San Jose,Camarines Sur
4408,Sipocot,Camarines Sur
4427,Siruma,Camarines Sur
4420,Tigaon,Camarines Sur
4426,Tinambac,Camarines Sur
9104,Catarman,Camiguin
9102,Guinsiliban,Camiguin
9101,Mahinog,Camiguin
9100,Mambajao,Camiguin
9103,Sagay,Camiguin
5811,Cuartero,Capiz
5810,Dao,Capiz
5813,Dumalag,Capiz
5812,Dumarao,Capiz
5805,Ivisan,Capiz
5808,Jamindan,Capiz
5809,Ma-ayon,Capiz
5807,Mambusao,Capiz
5801,Pan-ay,Capiz
5815,Panitan,Capiz
5804,Pilar,Capiz
5802,Pontevedra,Capiz
5803,President Roxas,Capiz
5800,Roxas,Capiz
5806,Sapian,Capiz
5816,Sigma,Capiz
5814,Tapaz,Capiz
4807,Bagamanoc,Catanduanes
4803,Baras,Catanduanes
4801,Bato,Catanduanes
4808,Caramoran,Catanduanes
4804,Gigmoto,Catanduanes
4809,Pandan,Catanduanes
4806,Panganiban,Catanduanes
4810,San Andres,Catanduanes
4802,San Miguel,Catanduanes
4805,Viga,Catanduanes
4800,Virac,Catanduanes
4123,Alfonso,Cavite
4119,Amadeo,Cavite
4102,Bacoor,Cavite
4116,Carmona,Cavite
4100,Cavite City,Cavite
4125,"Corregidor Island, Cavite City",Cavite
4114,Dasmari–as,Cavite
4115,"Dasmari–as Resettlement Area, Dasmari–as",Cavite
4126,"First Cavite Industrial Estate, Dasmari–as",Cavite
4124,General Emilio Aguinaldo (Bailen),Cavite
4117,General Mariano Alvarez,Cavite
4107,General Trias,Cavite
4103,Imus,Cavite
4122,Indang,Cavite
4104,Kawit,Cavite
4113,Magallanes,Cavite
4112,Maragondon,Cavite
4121,Mendez (Mendez-Nu–ez),Cavite
4110,Naic,Cavite
4105,Noveleta,Cavite
4106,Rosario,Cavite
4101,"Sangley Point Naval Base, Cavite City",Cavite
4118,Silang,Cavite
4120,Tagaytay,Cavite
4108,Tanza,Cavite
4111,Ternate,Cavite
4109,Trece Martires,Cavite
6033,Alcantara,Cebu
6023,Alcoy,Cebu
6030,Alegria,Cebu
6040,Aloguinsan,Cebu
6021,Argao,Cebu
6042,Asturias,Cebu
6031,Badian,Cebu
6041,Balamban,Cebu
6052,Bantayan,Cebu
6036,Barili,Cebu
6010,Bogo,Cebu
6024,Boljoon,Cebu
6008,Borbon,Cebu
6019,Carcar,Cebu
6005,Carmen,Cebu
6006,Catmon,Cebu
6000,Cebu City,Cebu
6003,Compostela,Cebu
6001,Consolacion,Cebu
6017,Cordova,Cebu
6013,Daanbantayan,Cebu
6022,Dalaguete,Cebu
6004,Danao,Cebu
6035,Dumanjug,Cebu
6028,Ginatilan,Cebu
6015,Lapu-Lapu (Opon),Cebu
6002,Liloan,Cebu
6016,Mactan Airport,Cebu
6053,Madridejos,Cebu
